ano,mes_num,mes_nome,segmento,tipo_eletrificacao,rank,fabricante,quantidade_mes,participacao_pct
2024,1,Janeiro,Autos,Híbridos,1,GWM,1619,21.19
2024,1,Janeiro,Autos,Híbridos,2,TOYOTA,1593,20.85
2024,1,Janeiro,Autos,Elétricos,2,GWM,696,16.06
2024,1,Janeiro,Autos,Híbridos,3,BYD,1519,19.88
2024,1,Janeiro,Autos,Elétricos,3,VOLVO,275,6.34
2024,1,Janeiro,Autos,Híbridos,4,CAOA CHERY,741,9.7
2024,1,Janeiro,Autos,Elétricos,4,PEUGEOT,270,6.23
2024,1,Janeiro,Autos,Híbridos,5,VOLVO,393,5.14
2024,1,Janeiro,Autos,Elétricos,5,JAC,15,2.65
2024,1,Janeiro,Autos,Híbridos,6,M.BENZ,349,4.57
2024,1,Janeiro,Autos,Elétricos,6,BMW,58,1.34
2024,1,Janeiro,Autos,Híbridos,7,LAND ROVER,277,3.62
2024,1,Janeiro,Autos,Elétricos,7,RENAULT,34,0.78
2024,1,Janeiro,Autos,Híbridos,8,KIA,257,3.36
2024,1,Janeiro,Autos,Elétricos,8,FORD,2,0.51
2024,1,Janeiro,Autos,Híbridos,9,BMW,239,3.13
2024,1,Janeiro,Autos,Elétricos,9,PORSCHE,2,0.51
2024,1,Janeiro,Autos,Híbridos,10,HONDA,191,2.5
2024,1,Janeiro,Autos,Elétricos,10,GM,16,0.37
2024,1,Janeiro,Autos,Híbridos,12,HYUNDAI,75,0.98
2024,1,Janeiro,Autos,Híbridos,13,LEXUS,75,0.98
2024,1,Janeiro,Autos,Elétricos,13,M.BENZ,8,0.18
2024,1,Janeiro,Autos,Híbridos,14,MINI,6,0.86
2024,1,Janeiro,Autos,Elétricos,14,DONGFENG,5,0.12
2024,1,Janeiro,Autos,Híbridos,15,JEEP,56,0.73
2024,1,Janeiro,Autos,Elétricos,15,TESLA,4,0.09
2024,1,Janeiro,Caminhões,Elétricos,1,VW TRUCK E BUS,45,80.36
2024,1,Janeiro,Caminhões,Elétricos,2,VOLVO,6,10.71
2024,1,Janeiro,Caminhões,Elétricos,4,FOTON,1,1.79
2024,1,Janeiro,Ônibus,Elétricos,1,INDUSCAR,8,80.0
2024,1,Janeiro,Ônibus,Elétricos,2,MARCOPOLO,1,10.0
2024,1,Janeiro,Ônibus,Elétricos,3,BYD,1,10.0
2024,1,Janeiro,Motos,Elétricos,1,GCX,106,20.78
2024,1,Janeiro,Motos,Elétricos,2,SHINERAY,61,11.96
2024,1,Janeiro,Motos,Elétricos,3,ROTOM,43,8.43
2024,1,Janeiro,Motos,Elétricos,4,JIANGSU,32,6.27
2024,1,Janeiro,Motos,Elétricos,5,LVNENG,32,6.27
2024,1,Janeiro,Motos,Elétricos,6,FEVER,30,5.88
2024,1,Janeiro,Motos,Elétricos,9,AIPAO,14,2.75
2024,1,Janeiro,Motos,Elétricos,10,VOLTZ,14,2.75
2024,1,Janeiro,Motos,Elétricos,12,YONG JIU,10,1.96
2024,1,Janeiro,Motos,Elétricos,13,YUEJIN,10,1.96
2024,1,Janeiro,Motos,Elétricos,14,BULL,9,1.76
2024,1,Janeiro,Motos,Elétricos,15,VMOTO,9,1.76
2024,2,Fevereiro,Autos,Híbridos,1,BYD,1900,28.08
2024,2,Fevereiro,Autos,Elétricos,1,BYD,2523,69.83
2024,2,Fevereiro,Autos,Híbridos,2,TOYOTA,1548,22.88
2024,2,Fevereiro,Autos,Elétricos,2,GWM,588,16.27
2024,2,Fevereiro,Autos,Híbridos,3,GWM,1127,16.66
2024,2,Fevereiro,Autos,Elétricos,3,JAC,143,3.96
2024,2,Fevereiro,Autos,Híbridos,4,CAOA CHERY,582,8.6
2024,2,Fevereiro,Autos,Elétricos,4,VOLVO,113,3.13
2024,2,Fevereiro,Autos,Híbridos,5,M.BENZ,303,4.48
2024,2,Fevereiro,Autos,Elétricos,5,BMW,69,1.91
2024,2,Fevereiro,Autos,Híbridos,6,LAND ROVER,274,4.05
2024,2,Fevereiro,Autos,Elétricos,6,PEUGEOT,62,1.72
2024,2,Fevereiro,Autos,Híbridos,7,VOLVO,225,3.33
2024,2,Fevereiro,Autos,Elétricos,7,RENAULT,32,0.89
2024,2,Fevereiro,Autos,Híbridos,8,BMW,195,2.88
2024,2,Fevereiro,Autos,Elétricos,8,M.BENZ,19,0.53
2024,2,Fevereiro,Autos,Híbridos,9,KIA,179,2.65
2024,2,Fevereiro,Autos,Elétricos,9,FORD,10,0.28
2024,2,Fevereiro,Autos,Híbridos,10,HONDA,121,1.79
2024,2,Fevereiro,Autos,Elétricos,10,GMC,9,0.25
2024,2,Fevereiro,Autos,Híbridos,11,AUDI,98,1.45
2024,2,Fevereiro,Autos,Elétricos,11,PORSCHE,9,0.25
2024,2,Fevereiro,Autos,Híbridos,12,LEXUS,7,1.14
2024,2,Fevereiro,Autos,Elétricos,12,CAOA CHERY,8,0.22
2024,2,Fevereiro,Autos,Híbridos,13,MINI,52,0.77
2024,2,Fevereiro,Autos,Elétricos,13,MINI,8,0.22
2024,2,Fevereiro,Autos,Híbridos,14,JEEP,28,0.41
2024,2,Fevereiro,Autos,Elétricos,14,GM,7,0.19
2024,2,Fevereiro,Autos,Híbridos,15,PORSCHE,27,0.4
2024,2,Fevereiro,Autos,Elétricos,15,AUDI,4,0.11
2024,2,Fevereiro,Com. Leves,Elétricos,1,JAC,14,53.85
2024,2,Fevereiro,Com. Leves,Elétricos,2,BYD,5,19.23
2024,2,Fevereiro,Com. Leves,Elétricos,1,FORD,46,100.0
2024,2,Fevereiro,Com. Leves,Elétricos,3,ARROW,4,15.38
2024,2,Fevereiro,Com. Leves,Elétricos,4,GMC,3,11.54
2024,2,Fevereiro,Caminhões,Elétricos,1,JAC,13,61.9
2024,2,Fevereiro,Caminhões,Elétricos,2,VW TRUCK E BUS,6,28.57
2024,2,Fevereiro,Caminhões,Elétricos,3,FOTON,1,4.76
2024,2,Fevereiro,Caminhões,Elétricos,4,VOLVO,1,4.76
2024,2,Fevereiro,Ônibus,Elétricos,1,HIGER,1,50.0
2024,2,Fevereiro,Ônibus,Elétricos,2,MARCOPOLO,1,50.0
2024,2,Fevereiro,Motos,Elétricos,1,GCX,86,20.33
2024,2,Fevereiro,Motos,Elétricos,2,SHINERAY,47,11.11
2024,2,Fevereiro,Motos,Elétricos,3,ROTOM,40,9.46
2024,2,Fevereiro,Motos,Elétricos,4,JIANGSU,29,6.86
2024,2,Fevereiro,Motos,Elétricos,5,LVNENG,2,5.2
2024,2,Fevereiro,Motos,Elétricos,6,YUEJIN,2,5.2
2024,2,Fevereiro,Motos,Elétricos,7,AIPAO,20,4.73
2024,2,Fevereiro,Motos,Elétricos,8,SHENGQI,19,4.49
2024,2,Fevereiro,Motos,Elétricos,9,YONG JIU,16,3.78
2024,2,Fevereiro,Motos,Elétricos,10,FEVER,13,3.07
2024,2,Fevereiro,Motos,Elétricos,11,SMARDA,12,2.84
2024,2,Fevereiro,Motos,Elétricos,12,SUPER SOCO,9,2.13
2024,2,Fevereiro,Motos,Elétricos,13,TAILING,6,1.42
2024,2,Fevereiro,Motos,Elétricos,14,WUXI,6,1.42
2024,2,Fevereiro,Motos,Elétricos,15,AIMA,5,1.18
2024,3,Março,Autos,Híbridos,1,TOYOTA,1908,25.75
2024,3,Março,Autos,Elétricos,1,BYD,4760,77.91
2024,3,Março,Autos,Híbridos,2,BYD,1450,19.57
2024,3,Março,Autos,Elétricos,2,GWM,608,9.95
2024,3,Março,Autos,Híbridos,3,GWM,1097,14.8
2024,3,Março,Autos,Elétricos,3,VOLVO,208,3.4
2024,3,Março,Autos,Híbridos,4,CAOA CHERY,782,10.55
2024,3,Março,Autos,Elétricos,4,JAC,199,3.26
2024,3,Março,Autos,Híbridos,5,M.BENZ,475,6.41
2024,3,Março,Autos,Elétricos,5,RENAULT,121,1.98
