ano,mes_num,mes_nome,segmento,tipo_eletrificacao,quantidade_mes
2024,1,Janeiro,Autos,Híbridos,7642
2024,1,Janeiro,Autos,Elétricos,4335
2024,1,Janeiro,Autos,Total Eletrificados,11977
2024,1,Janeiro,Caminhões,Híbridos,0
2024,1,Janeiro,Caminhões,Elétricos,56
2024,1,Janeiro,Caminhões,Total Eletrificados,56
2024,1,Janeiro,Ônibus,Híbridos,0
2024,1,Janeiro,Ônibus,Elétricos,10
2024,1,Janeiro,Ônibus,Total Eletrificados,10
2024,1,Janeiro,Motos,Híbridos,0
2024,1,Janeiro,Motos,Elétricos,510
2024,1,Janeiro,Motos,Total Eletrificados,510
2024,2,Fevereiro,Autos,Híbridos,6766
2024,2,Fevereiro,Autos,Elétricos,3613
2024,2,Fevereiro,Autos,Total Eletrificados,10379
2024,2,Fevereiro,Com. Leves,Híbridos,46
2024,2,Fevereiro,Com. Leves,Elétricos,26
2024,2,Fevereiro,Com. Leves,Total Eletrificados,72
2024,2,Fevereiro,Caminhões,Híbridos,0
2024,2,Fevereiro,Caminhões,Elétricos,21
2024,2,Fevereiro,Caminhões,Total Eletrificados,21
2024,2,Fevereiro,Ônibus,Híbridos,0
2024,2,Fevereiro,Ônibus,Elétricos,2
2024,2,Fevereiro,Ônibus,Total Eletrificados,2
2024,2,Fevereiro,Motos,Híbridos,0
2024,2,Fevereiro,Motos,Elétricos,423
2024,2,Fevereiro,Motos,Total Eletrificados,423
2024,3,Março,Autos,Híbridos,7411
2024,3,Março,Autos,Elétricos,6110
2024,3,Março,Autos,Total Eletrificados,13521
2024,3,Março,Com. Leves,Híbridos,65
2024,3,Março,Com. Leves,Elétricos,27
2024,3,Março,Com. Leves,Total Eletrificados,92
2024,3,Março,Caminhões,Híbridos,0
2024,3,Março,Caminhões,Elétricos,37
2024,3,Março,Caminhões,Total Eletrificados,37
2024,3,Março,Ônibus,Híbridos,0
2024,3,Março,Ônibus,Elétricos,35
2024,3,Março,Ônibus,Total Eletrificados,35
2024,3,Março,Motos,Híbridos,0
2024,3,Março,Motos,Elétricos,734
2024,3,Março,Motos,Total Eletrificados,734
2024,4,Abril,Autos,Híbridos,8478
2024,4,Abril,Autos,Elétricos,6508
2024,4,Abril,Autos,Total Eletrificados,14986
2024,4,Abril,Com. Leves,Híbridos,23
2024,4,Abril,Com. Leves,Elétricos,197
2024,4,Abril,Com. Leves,Total Eletrificados,220
2024,4,Abril,Ônibus,Elétricos,62
2024,4,Abril,Ônibus,Total Eletrificados,62
2024,4,Abril,Motos,Híbridos,0
2024,4,Abril,Motos,Elétricos,509
2024,4,Abril,Motos,Total Eletrificados,509
2024,5,Maio,Autos,Híbridos,8380
2024,5,Maio,Autos,Elétricos,5160
2024,5,Maio,Autos,Total Eletrificados,13540
2024,5,Maio,Com. Leves,Híbridos,57
2024,5,Maio,Com. Leves,Elétricos,15
2024,5,Maio,Com. Leves,Total Eletrificados,72
2024,5,Maio,Caminhões,Híbridos,0
2024,5,Maio,Caminhões,Elétricos,32
2024,5,Maio,Caminhões,Total Eletrificados,32
2024,5,Maio,Ônibus,Híbridos,0
2024,5,Maio,Ônibus,Elétricos,9
2024,5,Maio,Ônibus,Total Eletrificados,9
2024,5,Maio,Motos,Híbridos,0
2024,5,Maio,Motos,Elétricos,562
2024,5,Maio,Motos,Total Eletrificados,562
2024,6,Junho,Autos,Híbridos,9173
2024,6,Junho,Autos,Elétricos,5102
2024,6,Junho,Autos,Total Eletrificados,14275
2024,6,Junho,Com. Leves,Híbridos,3
2024,6,Junho,Com. Leves,Elétricos,8
2024,6,Junho,Com. Leves,Total Eletrificados,121
2024,6,Junho,Caminhões,Híbridos,0
2024,6,Junho,Caminhões,Elétricos,82
2024,6,Junho,Caminhões,Total Eletrificados,82
2024,6,Junho,Ônibus,Híbridos,0
2024,6,Junho,Ônibus,Elétricos,9
2024,6,Junho,Ônibus,Total Eletrificados,9
2024,6,Junho,Motos,Híbridos,0
2024,6,Junho,Motos,Elétricos,775
2024,6,Junho,Motos,Total Eletrificados,775
2024,7,Julho,Autos,Híbridos,10577
2024,7,Julho,Autos,Elétricos,4676
2024,7,Julho,Autos,Total Eletrificados,15253
2024,7,Julho,Com. Leves,Híbridos,3
2024,7,Julho,Com. Leves,Elétricos,26
2024,7,Julho,Com. Leves,Total Eletrificados,59
2024,7,Julho,Caminhões,Híbridos,0
2024,7,Julho,Caminhões,Elétricos,48
2024,7,Julho,Caminhões,Total Eletrificados,48
2024,7,Julho,Ônibus,Híbridos,0
2024,7,Julho,Ônibus,Elétricos,13
2024,7,Julho,Ônibus,Total Eletrificados,13
2024,7,Julho,Motos,Híbridos,0
2024,7,Julho,Motos,Elétricos,695
2024,7,Julho,Motos,Total Eletrificados,695
2024,8,Agosto,Autos,Híbridos,9374
2024,8,Agosto,Autos,Elétricos,5078
2024,8,Agosto,Autos,Total Eletrificados,14452
2024,8,Agosto,Com. Leves,Híbridos,178
2024,8,Agosto,Com. Leves,Elétricos,37
2024,8,Agosto,Com. Leves,Total Eletrificados,215
2024,8,Agosto,Caminhões,Híbridos,0
2024,8,Agosto,Caminhões,Elétricos,24
2024,8,Agosto,Caminhões,Total Eletrificados,24
2024,8,Agosto,Ônibus,Híbridos,0
2024,8,Agosto,Ônibus,Elétricos,61
2024,8,Agosto,Ônibus,Total Eletrificados,61
2024,8,Agosto,Motos,Híbridos,0
2024,8,Agosto,Motos,Elétricos,464
2024,8,Agosto,Motos,Total Eletrificados,464
2024,9,Setembro,Autos,Híbridos,8524
2024,9,Setembro,Autos,Elétricos,4624
2024,9,Setembro,Autos,Total Eletrificados,13148
2024,9,Setembro,Com. Leves,Híbridos,106
2024,9,Setembro,Com. Leves,Elétricos,81
2024,9,Setembro,Com. Leves,Total Eletrificados,187
2024,9,Setembro,Caminhões,Híbridos,0
2024,9,Setembro,Caminhões,Elétricos,35
2024,9,Setembro,Caminhões,Total Eletrificados,35
2024,9,Setembro,Ônibus,Híbridos,0
2024,9,Setembro,Ônibus,Elétricos,16
2024,9,Setembro,Ônibus,Total Eletrificados,16
2024,9,Setembro,Motos,Híbridos,0
2024,9,Setembro,Motos,Elétricos,549
2024,9,Setembro,Motos,Total Eletrificados,549
2024,10,Outubro,Autos,Híbridos,9672
2024,10,Outubro,Autos,Elétricos,5606
2024,10,Outubro,Autos,Total Eletrificados,15278
2024,10,Outubro,Com. Leves,Híbridos,251
2024,10,Outubro,Com. Leves,Elétricos,504
2024,10,Outubro,Com. Leves,Total Eletrificados,755
2024,10,Outubro,Caminhões,Híbridos,0
2024,10,Outubro,Caminhões,Elétricos,26
2024,10,Outubro,Caminhões,Total Eletrificados,26
2024,10,Outubro,Ônibus,Híbridos,0
2024,10,Outubro,Ônibus,Elétricos,52
2024,10,Outubro,Ônibus,Total Eletrificados,52
2024,10,Outubro,Motos,Híbridos,0
2024,10,Outubro,Motos,Elétricos,643
2024,10,Outubro,Motos,Total Eletrificados,643
2024,11,Novembro,Autos,Híbridos,11572
2024,11,Novembro,Autos,Elétricos,5031
2024,11,Novembro,Autos,Total Eletrificados,16603
2024,11,Novembro,Com. Leves,Híbridos,155
2024,11,Novembro,Com. Leves,Elétricos,385
2024,11,Novembro,Com. Leves,Total Eletrificados,540
2024,11,Novembro,Caminhões,Híbridos,0
2024,11,Novembro,Caminhões,Elétricos,48
2024,11,Novembro,Caminhões,Total Eletrificados,48
2024,11,Novembro,Ônibus,Híbridos,0
2024,11,Novembro,Ônibus,Elétricos,21
2024,11,Novembro,Ônibus,Total Eletrificados,21
2024,11,Novembro,Motos,Híbridos,0
2024,11,Novembro,Motos,Elétricos,711
2024,11,Novembro,Motos,Total Eletrificados,711
2024,12,Dezembro,Autos,Híbridos,17077
2024,12,Dezembro,Autos,Elétricos,4331
2024,12,Dezembro,Autos,Total Eletrificados,21408
2024,12,Dezembro,Com. Leves,Híbridos,188
2024,12,Dezembro,Com. Leves,Elétricos,38
2024,12,Dezembro,Com. Leves,Total Eletrificados,226
2024,12,Dezembro,Caminhões,Híbridos,0
2024,12,Dezembro,Caminhões,Elétricos,36
2024,12,Dezembro,Caminhões,Total Eletrificados,36
2024,12,Dezembro,Ônibus,Híbridos,0
2024,12,Dezembro,Ônibus,Elétricos,2
2024,12,Dezembro,Ônibus,Total Eletrificados,2
2024,12,Dezembro,Motos,Híbridos,0
2024,12,Dezembro,Motos,Elétricos,1185
2024,12,Dezembro,Motos,Total Eletrificados,1185
2025,1,Janeiro,Autos,Híbridos,12670
2025,1,Janeiro,Autos,Elétricos,3636
2025,1,Janeiro,Autos,Total Eletrificados,16306
2025,1,Janeiro,Com. Leves,Híbridos,129
2025,1,Janeiro,Com. Leves,Elétricos,61
2025,1,Janeiro,Com. Leves,Total Eletrificados,190
2025,1,Janeiro,Caminhões,Híbridos,0
2025,1,Janeiro,Caminhões,Elétricos,17
2025,1,Janeiro,Caminhões,Total Eletrificados,17
2025,1,Janeiro,Ônibus,Híbridos,0
