ano,mes_num,mes_nome,segmento,tipo_venda,rank,fabricante,quantidade_mes,participacao_pct
2022,1,Janeiro,Com. Leves,Total,1,FIAT,11815,48.44
2022,1,Janeiro,Com. Leves,Total,2,TOYOTA,2914,11.95
2022,1,Janeiro,Com. Leves,Total,3,VW,2134,8.75
2022,1,Janeiro,Com. Leves,Total,4,RENAULT,2070,8.49
2022,1,Janeiro,Com. Leves,Total,5,FORD,1225,5.02
2022,1,Janeiro,Com. Leves,Total,6,NISSAN,950,3.9
2022,1,Janeiro,Com. Leves,Total,7,MITSUBISHI,826,3.39
2022,1,Janeiro,Com. Leves,Total,8,GM,742,3.04
2022,1,Janeiro,Com. Leves,Total,9,PEUGEOT,450,1.85
2022,1,Janeiro,Com. Leves,Total,10,RAM,256,1.05
2022,1,Janeiro,Com. Leves,Total,11,IVECO,225,0.92
2022,1,Janeiro,Com. Leves,Total,12,CITROEN,204,0.84
2022,1,Janeiro,Com. Leves,Total,13,VW/MAN,172,0.71
2022,1,Janeiro,Com. Leves,Total,14,KIA,151,0.62
2022,1,Janeiro,Com. Leves,Total,15,HYUNDAI,112,0.46
2022,1,Janeiro,Com. Leves,Total,16,M.BENZ,89,0.36
2022,1,Janeiro,Com. Leves,Total,17,EFFA,48,0.2
2022,1,Janeiro,Com. Leves,Total,18,FOTON,2,0.01
2022,1,Janeiro,Com. Leves,Total,19,JAC,2,0.01
2022,1,Janeiro,Com. Leves,Total,20,MAHINDRA,1,0
2022,1,Janeiro,Com. Leves,Total,21,OPEL,1,0
2022,1,Janeiro,Caminhões,Total,1,VW/MAN,2345,27.53
2022,1,Janeiro,Ônibus,Total,1,M.BENZ,660,48.25
2022,1,Janeiro,Caminhões,Total,2,M.BENZ,2309,27.11
2022,1,Janeiro,Ônibus,Total,2,MARCOPOLO,344,25.15
2022,1,Janeiro,Caminhões,Total,3,VOLVO,1726,20.27
2022,1,Janeiro,Ônibus,Total,3,VW/MAN,238,17.4
2022,1,Janeiro,Caminhões,Total,4,IVECO,848,9.96
2022,1,Janeiro,Ônibus,Total,4,VOLVO,53,3.87
2022,1,Janeiro,Caminhões,Total,5,SCANIA,683,8.02
2022,1,Janeiro,Ônibus,Total,5,FORD,34,2.49
2022,1,Janeiro,Caminhões,Total,6,DAF,528,6.2
2022,1,Janeiro,Ônibus,Total,6,IVECO,29,2.12
2022,1,Janeiro,Caminhões,Total,7,JAC,38,0.45
2022,1,Janeiro,Ônibus,Total,7,SCANIA,6,0.44
2022,1,Janeiro,Caminhões,Total,8,HYUNDAI,25,0.29
2022,1,Janeiro,Ônibus,Total,8,AGRALE,3,0.22
2022,1,Janeiro,Caminhões,Total,9,AGRALE,5,0.06
2022,1,Janeiro,Ônibus,Total,9,BYD,1,0.07
2022,1,Janeiro,Caminhões,Total,10,FORD,5,0.06
2022,1,Janeiro,Caminhões,Total,11,FOTON,2,0.02
2022,1,Janeiro,Caminhões,Total,12,JBC,1,0.01
2022,1,Janeiro,Caminhões,Total,13,JMC,1,0.01
2022,1,Janeiro,Motos,Total,1,HONDA,67457,75.22
2022,1,Janeiro,Motos,Total,2,YAMAHA,16955,18.91
2022,1,Janeiro,Motos,Total,3,SHINERAY,1340,1.49
2022,1,Janeiro,Motos,Total,4,KAWASAKI,575,0.64
