ano,mes_num,mes_nome,segmento,tipo_venda,rank,modelo,quantidade_mes
2022,1,Janeiro,Autos,Total,2,GM/ONIX,5205
2022,1,Janeiro,Autos,Total,3,JEEP/RENEGADE,4999
2022,1,Janeiro,Autos,Total,1,FIAT/STRADA,6716
2022,1,Janeiro,Autos,Total,4,JEEP/COMPASS,4905
2022,1,Janeiro,Autos,Total,2,FIAT/TORO,3293
2022,1,Janeiro,Autos,Total,5,HYUNDAI/CRETA,4175
2022,1,Janeiro,Autos,Total,3,TOYOTA/HILUX,2912
2022,1,Janeiro,Autos,Total,6,VW/T CROSS,3761
2022,1,Janeiro,Autos,Total,4,RENAULT/OROCH,1447
2022,1,Janeiro,Autos,Total,7,VW/GOL,3435
2022,1,Janeiro,Autos,Total,5,FIAT/FIORINO,1343
2022,1,Janeiro,Autos,Total,8,GM/ONIX PLUS,3431
2022,1,Janeiro,Autos,Total,6,FORD/RANGER,1221
2022,1,Janeiro,Autos,Total,9,FIAT/PULSE,3192
2022,1,Janeiro,Autos,Total,7,VW/SAVEIRO,1180
2022,1,Janeiro,Autos,Total,10,RENAULT/KWID,3180
2022,1,Janeiro,Autos,Total,8,VW/AMAROK,954
2022,1,Janeiro,Autos,Total,11,FIAT/ARGO,2676
2022,1,Janeiro,Autos,Total,9,NISSAN/FRONTIER,950
2022,1,Janeiro,Autos,Total,12,FIAT/MOBI,2528
2022,1,Janeiro,Autos,Total,10,MITSUBISHI/L200,826
2022,1,Janeiro,Autos,Total,13,TOYOTA/COROLLA CROSS,2478
2022,1,Janeiro,Autos,Total,11,GM/S10,739
2022,1,Janeiro,Autos,Total,14,HYUNDAI/HB20S,2391
2022,1,Janeiro,Autos,Total,12,RENAULT/MASTER,623
2022,1,Janeiro,Autos,Total,15,GM/TRACKER,2376
2022,1,Janeiro,Autos,Total,13,FIAT/DUCATO,452
2022,1,Janeiro,Autos,Total,16,CITROEN/C4 CACTUS,2283
2022,1,Janeiro,Autos,Total,14,PEUGEOT/EXPERT,398
2022,1,Janeiro,Autos,Total,17,TOYOTA/COROLLA,2142
2022,1,Janeiro,Autos,Total,15,RAM/2500,252
2022,1,Janeiro,Autos,Total,18,PEUGEOT/208,1989
2022,1,Janeiro,Autos,Total,16,CITROEN/JUMPY,198
2022,1,Janeiro,Autos,Total,19,HONDA/HR-V,1792
2022,1,Janeiro,Autos,Total,17,VW/MAN/EXPRESS,172
2022,1,Janeiro,Autos,Total,20,FIAT/CRONOS,1732
2022,1,Janeiro,Autos,Total,18,KIA/K2500,151
2022,1,Janeiro,Autos,Total,21,NISSAN/KICKS,1682
2022,1,Janeiro,Autos,Total,19,IVECO/DAILY 35-150,149
2022,1,Janeiro,Autos,Total,22,PEUGEOT/2008,1631
2022,1,Janeiro,Autos,Total,20,HYUNDAI/HR,112
2022,1,Janeiro,Autos,Total,23,RENAULT/DUSTER,1445
2022,1,Janeiro,Autos,Total,21,IVECO/DAILY 30-130,63
2022,1,Janeiro,Autos,Total,24,JEEP/COMMANDER,1437
2022,1,Janeiro,Autos,Total,22,M.BENZ/SPRINTER 416,4
2022,1,Janeiro,Autos,Total,25,VW/NIVUS,1384
2022,1,Janeiro,Autos,Total,23,PEUGEOT/PARTNER,39
2022,1,Janeiro,Autos,Total,26,HONDA/CIVIC,1133
2022,1,Janeiro,Autos,Total,24,M.BENZ/SPRINTER 314,32
2022,1,Janeiro,Autos,Total,27,CAOA CHERY/TIGGO 3X,1023
2022,1,Janeiro,Autos,Total,25,EFFA/V21,29
2022,1,Janeiro,Autos,Total,28,HONDA/CITY,1011
2022,1,Janeiro,Autos,Total,26,IVECO/DAILY,13
2022,1,Janeiro,Autos,Total,29,TOYOTA/YARIS HB,955
2022,1,Janeiro,Autos,Total,27,M.BENZ/SPRINTER,13
2022,1,Janeiro,Autos,Total,30,VW/TAOS,946
2022,1,Janeiro,Autos,Total,28,PEUGEOT/BOXER,13
2022,1,Janeiro,Autos,Total,31,TOYOTA/HILUX SW4,889
2022,1,Janeiro,Autos,Total,29,EFFA/V22,12
2022,1,Janeiro,Autos,Total,32,NISSAN/VERSA,796
2022,1,Janeiro,Autos,Total,30,FIAT/DOBLO,1
2022,1,Janeiro,Autos,Total,33,CAOA CHERY/TIGGO 8,670
2022,1,Janeiro,Autos,Total,31,CITROEN/JUMPER,6
2022,1,Janeiro,Autos,Total,34,FIAT/SIENA,666
2022,1,Janeiro,Autos,Total,32,EFFA/V25,5
2022,1,Janeiro,Autos,Total,35,FIAT/UNO,622
2022,1,Janeiro,Autos,Total,33,RAM/1500,3
2022,1,Janeiro,Autos,Total,36,VW/VIRTUS,612
2022,1,Janeiro,Autos,Total,34,GM/MONTANA,2
2022,1,Janeiro,Autos,Total,37,RENAULT/LOGAN,607
2022,1,Janeiro,Autos,Total,35,TOYOTA/BANDEIRANTE,2
2022,1,Janeiro,Autos,Total,38,RENAULT/SANDERO,607
2022,1,Janeiro,Autos,Total,36,EFFA/K01,2
2022,1,Janeiro,Autos,Total,39,HONDA/WR-V,600
2022,1,Janeiro,Autos,Total,37,JAC/V260,2
2022,1,Janeiro,Autos,Total,40,CAOA CHERY/TIGGO 5X,598
2022,1,Janeiro,Autos,Total,38,FORD/F150,1
2022,1,Janeiro,Autos,Total,41,TOYOTA/YARIS SEDAN,593
2022,1,Janeiro,Autos,Total,39,FORD/F250,1
2022,1,Janeiro,Autos,Total,42,RENAULT/CAPTUR,567
2022,1,Janeiro,Autos,Total,40,FORD/RANCHERO,1
2022,1,Janeiro,Autos,Total,43,GM/SPIN,513
2022,1,Janeiro,Autos,Total,41,GM/SILVERADO,1
2022,1,Janeiro,Autos,Total,44,CAOA CHERY/TIGGO 7,512
2022,1,Janeiro,Autos,Total,42,OPEL/OPEL,1
2022,1,Janeiro,Autos,Total,45,VW/VOYAGE,479
2022,1,Janeiro,Autos,Total,43,MAHINDRA/MAHINDRA,1
2022,1,Janeiro,Autos,Total,46,GM/CRUZE SEDAN,458
2022,1,Janeiro,Autos,Total,44,FOTON/AUMARK 1039,1
2022,1,Janeiro,Autos,Total,47,GM/TRAILBLAZER,347
2022,1,Janeiro,Autos,Total,45,FOTON/AUMARK 3.5-14DT,1
2022,1,Janeiro,Autos,Total,48,CAOA CHERY/ARRIZO 6,270
2022,1,Janeiro,Autos,Total,49,BMW/320I,259
2022,1,Janeiro,Autos,Total,50,VW/POLO,253
2022,1,Janeiro,Autos,Direta,1,JEEP/RENEGADE,3622
2022,1,Janeiro,Com. Leves,Direta,1,FIAT/STRADA,4551
2022,1,Janeiro,Autos,Direta,2,JEEP/COMPASS,3549
2022,1,Janeiro,Com. Leves,Direta,2,FIAT/TORO,1428
2022,1,Janeiro,Autos,Direta,3,HYUNDAI/HB20,2164
2022,1,Janeiro,Com. Leves,Direta,3,RENAULT/OROCH,1263
