ano,mes_num,mes_nome,segmento,categoria,rank,modelo,quantidade_mes,participacao_categoria_pct
2022,1,Janeiro,Autos,Veículos de Entrada,1,VW/GOL,3435,35.14
2022,1,Janeiro,Autos,Veículos de Entrada,2,RENAULT/KWID,3180,32.53
2022,1,Janeiro,Autos,Veículos de Entrada,3,FIAT/MOBI,2528,25.86
2022,1,Janeiro,Autos,Veículos de Entrada,4,FIAT/UNO,622,6.36
2022,1,Janeiro,Autos,Veículos de Entrada,5,VW/FUSCA,10,0.1
2022,1,Janeiro,Autos,Veículos de Entrada,6,VW/UP,1,0.01
2022,1,Janeiro,Autos,Veículos de Entrada,7,FIAT/PALIO,0,0
2022,1,Janeiro,Autos,Veículos de Entrada,8,TOYOTA/ETIOS HB,0,0
2022,1,Janeiro,Autos,Hatch Pequenos,1,HYUNDAI/HB20,5634,32.14
2022,1,Janeiro,Autos,Hatch Pequenos,2,GM/ONIX,5205,29.69
2022,1,Janeiro,Autos,Hatch Pequenos,3,FIAT/ARGO,2676,15.26
2022,1,Janeiro,Autos,Hatch Pequenos,4,PEUGEOT/208,1989,11.35
2022,1,Janeiro,Autos,Hatch Pequenos,5,TOYOTA/YARIS HB,955,5.45
2022,1,Janeiro,Autos,Hatch Pequenos,6,RENAULT/SANDERO,607,3.46
2022,1,Janeiro,Autos,Hatch Pequenos,7,VW/POLO,253,1.44
2022,1,Janeiro,Autos,Hatch Pequenos,8,MINI/COOPER,75,0.43
2022,1,Janeiro,Autos,Hatch Pequenos,9,RENAULT/ZOE,51,0.29
2022,1,Janeiro,Autos,Hatch Pequenos,10,JAC/E-JS1,30,0.17
2022,1,Janeiro,Autos,Hatch Pequenos,11,VW/FOX/CROSS FOX,23,0.13
2022,1,Janeiro,Autos,Hatch Pequenos,12,FIAT/500E,19,0.11
2022,1,Janeiro,Autos,Hatch Médios,1,AUDI/A3,48,37.8
2022,1,Janeiro,Autos,Hatch Médios,2,NISSAN/LEAF,41,32.28
2022,1,Janeiro,Autos,Hatch Médios,3,GM/CRUZE HB,21,16.54
2022,1,Janeiro,Autos,Hatch Médios,4,BMW/I3,12,9.45
2022,1,Janeiro,Autos,Hatch Médios,5,M.BENZ/CLASSE A,3,2.36
2022,1,Janeiro,Autos,Hatch Médios,6,FORD/FOCUS,2,1.57
2022,1,Janeiro,Autos,Sedans Pequenos,1,HYUNDAI/HB20S,2391,40.65
2022,1,Janeiro,Autos,Sedans Pequenos,2,FIAT/CRONOS,1732,29.45
2022,1,Janeiro,Autos,Sedans Pequenos,3,FIAT/SIENA,666,11.32
2022,1,Janeiro,Autos,Sedans Pequenos,4,RENAULT/LOGAN,607,10.32
2022,1,Janeiro,Autos,Sedans Pequenos,5,VW/VOYAGE,479,8.14
2022,1,Janeiro,Autos,Sedans Pequenos,6,FORD/KA SEDAN,2,0.03
2022,1,Janeiro,Autos,Sedans Pequenos,7,NISSAN/VERSA,2,0.03
2022,1,Janeiro,Autos,Sedans Pequenos,8,TOYOTA/ETIOS SEDAN,2,0.03
2022,1,Janeiro,Autos,Sedans Pequenos,9,GM/PRISMA,1,0.02
2022,1,Janeiro,Autos,Sedans Pequenos,10,NISSAN/V-DRIVE,0,0
2022,1,Janeiro,Autos,Sedans Compactos,1,GM/ONIX PLUS,3431,53.25
2022,1,Janeiro,Autos,Sedans Compactos,2,HONDA/CITY,1011,15.69
2022,1,Janeiro,Autos,Sedans Compactos,3,NISSAN/VERSA,794,12.32
2022,1,Janeiro,Autos,Sedans Compactos,4,VW/VIRTUS,612,9.5
2022,1,Janeiro,Autos,Sedans Compactos,5,TOYOTA/YARIS SEDAN,593,9.2
2022,1,Janeiro,Autos,Sedans Compactos,6,CAOA CHERY/ARRIZO 5,2,0.03
2022,1,Janeiro,Autos,Sedans médios,1,TOYOTA/COROLLA,2142,51.37
2022,1,Janeiro,Autos,Sedans médios,2,HONDA/CIVIC,1133,27.17
2022,1,Janeiro,Autos,Sedans médios,3,GM/CRUZE SEDAN,458,10.98
2022,1,Janeiro,Autos,Sedans médios,4,CAOA CHERY/ARRIZO 6,270,6.47
2022,1,Janeiro,Autos,Sedans médios,5,AUDI/A3 SEDAN,60,1.44
2022,1,Janeiro,Autos,Sedans médios,6,KIA/CERATO,4,1.06
2022,1,Janeiro,Autos,Sedans médios,7,VW/JETTA,26,0.62
2022,1,Janeiro,Autos,Sedans médios,8,AUDI/A5,18,0.43
2022,1,Janeiro,Autos,Sedans médios,9,BMW/M235I,5,0.12
2022,1,Janeiro,Autos,Sedans médios,10,BMW/M440I,4,0.1
2022,1,Janeiro,Autos,Sedans médios,11,BMW/218I,3,0.07
