ano,mes_num,mes_nome,segmento,quantidade_mes
2022,1,Janeiro,Autos,92212
2022,1,Janeiro,Com. Leves,24389
2022,1,Janeiro,Autos + Com. Leves,116601
2022,1,Janeiro,Caminhões,8517
2022,1,Janeiro,Ônibus,1368
2022,1,Janeiro,Caminhões + Ônibus,9885
2022,1,Janeiro,Subtotal (A a D),126486
2022,1,Janeiro,Motos,89685
2022,1,Janeiro,Implementos Rodoviários,6724
2022,1,Janeiro,Outros,7888
2022,2,Fevereiro,Autos,97590
2022,2,Fevereiro,Com. Leves,22602
2022,2,Fevereiro,Autos + Com. Leves,120192
2022,2,Fevereiro,Caminhões,7961
2022,2,Fevereiro,Ônibus,1123
2022,2,Fevereiro,Caminhões + Ônibus,9084
2022,2,Fevereiro,Subtotal (A a D),129276
2022,2,Fevereiro,Motos,74065
2022,2,Fevereiro,Implementos Rodoviários,5937
2022,2,Fevereiro,Outros,8529
2022,2,Fevereiro,Total Geral,217807
2022,3,Março,Autos,108244
2022,3,Março,Com. Leves,26660
2022,3,Março,Autos + Com. Leves,134904
2022,3,Março,Caminhões,10133
2022,3,Março,Ônibus,1779
2022,3,Março,Caminhões + Ônibus,11912
2022,3,Março,Subtotal (A a D),146816
2022,3,Março,Motos,110083
2022,3,Março,Implementos Rodoviários,6796
2022,3,Março,Outros,9915
2022,3,Março,Total Geral,273610
2022,4,Abril,Autos,109684
2022,4,Abril,Com. Leves,26657
2022,4,Abril,Autos + Com. Leves,136341
2022,4,Abril,Caminhões,9375
2022,4,Abril,Ônibus,1521
2022,4,Abril,Caminhões + Ônibus,10896
2022,4,Abril,Subtotal (A a D),147237
2022,4,Abril,Motos,107737
2022,4,Abril,Implementos Rodoviários,6572
2022,4,Abril,Outros,9014
2022,4,Abril,Total Geral,270560
2022,5,Maio,Autos,139472
2022,5,Maio,Com. Leves,35342
2022,5,Maio,Autos + Com. Leves,174814
2022,5,Maio,Caminhões,10319
2022,5,Maio,Ônibus,1936
2022,5,Maio,Caminhões + Ônibus,12255
